E2082	successor	E2102
E1959	predecessor	E150
E1339	spouse	E1690
E947	successor	E527
E2101	predecessor	E2093
E2094	predecessor	E402
E248	spouse	E1035
E1665	child	E1173
E1780	child	E1876
E1190	child	E1808
E1188	parent	E1899
E872	father	E877
E1234	parent	E1951
E572	parent	E243
E224	parent	E1339
E1007	father	E446
E651	parent	E914
E1621	spouse	E1490
E128	parent	E1951
E314	child	E1792
E15	parent	E677
E2167	spouse	E1703
E406	mother	E1559
E1377	father	E1759
E997	predecessor	E1023
E1611	spouse	E416
E1522	type	Person
E1815	type	Person
E1939	successor	E115
E299	child	E143
E313	child	E1463
E2189	mother	E1159
E1918	type	Person
E2211	successor	E1746
E1868	father	E304
E364	successor	E196
E1859	successor	E1109
E629	successor	E1769
E876	spouse	E2018
E1376	spouse	E364
E211	successor	E885
E1584	parent	E674
E778	predecessor	E514
E498	type	Person
E277	successor	E1622
E825	child	E416
E1569	parent	E1636
E1584	predecessor	E1797
E1847	parent	E2034
E1675	successor	E500
E57	child	E2021
E1805	mother	E2072
E276	parent	E592
E1693	child	E482
E964	father	E2137
E506	child	E1930
E2045	successor	E872
E1395	child	E717
E488	spouse	E446
E272	spouse	E831
E2095	type	Person
E516	successor	E711
E2014	child	E295
E958	child	E1492
E711	mother	E1958
E1640	successor	E598
E331	father	E914
E1753	parent	E463
E766	parent	E1659
E204	successor	E159
E1777	parent	E1980
E760	predecessor	E1150
E482	father	E1792
E932	successor	E123
E2119	successor	E1759
E912	spouse	E1650
E2121	spouse	E1211
E1803	parent	E2067
E1162	parent	E2081
E2167	successor	E95
E1878	child	E321
E102	successor	E2098
E927	successor	E2034
E1662	parent	E271
E331	child	E1211
E435	successor	E1162
E1994	spouse	E350
E508	successor	E111
E232	parent	E560
E49	successor	E493
E1815	spouse	E422
E168	predecessor	E1017
E839	successor	E600
E942	spouse	E378
E1879	parent	E1844
E931	child	E1848
E1500	mother	E212
E654	child	E295
E1563	mother	E1666
E967	child	E144
E1293	type	Person
E723	child	E871
E1715	spouse	E1307
E1411	spouse	E623
E1820	child	E2029
E1071	parent	E605
E445	type	Person
E604	type	Person
E1323	father	E276
E1376	predecessor	E1689
E271	type	Person
E1293	parent	E2062
E993	predecessor	E90
E322	predecessor	E1512
E1122	parent	E1201
E1666	spouse	E857
E209	type	Person
E1859	child	E1437
E33	mother	E1801
E1372	parent	E1696
E1529	successor	E1109
E2101	type	Person
E710	successor	E441
E318	type	Person
E823	successor	E1750
E1044	type	Person
E573	child	E1615
E448	father	E1159
E46	predecessor	E410
E1325	type	Person
E1162	parent	E1240
E677	spouse	E682
E1207	father	E1041
E238	spouse	E459
